Level	Rule Name	Subject	Property	Value
ERROR	missing_label	http://org.semanticweb.owlapi/error#Error11	rdfs:label		
ERROR	missing_label	http://org.semanticweb.owlapi/error#Error12	rdfs:label		
ERROR	missing_label	http://org.semanticweb.owlapi/error#Error14	rdfs:label		
ERROR	missing_label	http://org.semanticweb.owlapi/error#Error16	rdfs:label		
ERROR	missing_label	http://org.semanticweb.owlapi/error#Error17	rdfs:label		
ERROR	missing_label	http://org.semanticweb.owlapi/error#Error18	rdfs:label		
ERROR	missing_label	http://org.semanticweb.owlapi/error#Error5	rdfs:label		
ERROR	missing_label	http://org.semanticweb.owlapi/error#Error6	rdfs:label		
ERROR	missing_label	http://org.semanticweb.owlapi/error#Error8	rdfs:label		
ERROR	missing_ontology_description	https://data.monarchinitiative.org/ttl/monochrom.ttl	dc11:description		
ERROR	missing_ontology_license	https://data.monarchinitiative.org/ttl/monochrom.ttl	dc:license		
ERROR	missing_ontology_title	https://data.monarchinitiative.org/ttl/monochrom.ttl	dc11:title		
WARN	missing_definition	http://org.semanticweb.owlapi/error#Error11	IAO:0000115		
WARN	missing_definition	http://org.semanticweb.owlapi/error#Error12	IAO:0000115		
WARN	missing_definition	http://org.semanticweb.owlapi/error#Error14	IAO:0000115		
WARN	missing_definition	http://org.semanticweb.owlapi/error#Error16	IAO:0000115		
WARN	missing_definition	http://org.semanticweb.owlapi/error#Error17	IAO:0000115		
WARN	missing_definition	http://org.semanticweb.owlapi/error#Error18	IAO:0000115		
WARN	missing_definition	http://org.semanticweb.owlapi/error#Error5	IAO:0000115		
WARN	missing_definition	http://org.semanticweb.owlapi/error#Error6	IAO:0000115		
WARN	missing_definition	http://org.semanticweb.owlapi/error#Error8	IAO:0000115		
WARN	missing_definition	CHR:10090chr1	IAO:0000115		
WARN	missing_definition	CHR:10090chr10	IAO:0000115		
WARN	missing_definition	CHR:10090chr10q	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qA	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qA1	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qA2	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qA3	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qA4	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qB	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qB1	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qB2	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qB3	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qB4	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qB5	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qB5.1	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qB5.2	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qB5.3	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qC	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qC1	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qC2	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qC3	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qD	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qD1	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qD2	IAO:0000115		
WARN	missing_definition	CHR:10090chr10qD3	IAO:0000115		
WARN	missing_definition	CHR:10090chr11	IAO:0000115		
WARN	missing_definition	CHR:10090chr11q	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qA	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qA1	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qA2	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qA3	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qA3.1	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qA3.2	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qA3.3	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qA4	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qA5	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qB	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qB1	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qB1.1	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qB1.2	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qB1.3	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qB2	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qB3	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qB4	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qB5	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qC	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qD	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qE	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qE1	IAO:0000115		
WARN	missing_definition	CHR:10090chr11qE2	IAO:0000115		
WARN	missing_definition	CHR:10090chr12	IAO:0000115		
WARN	missing_definition	CHR:10090chr12q	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qA	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qA1	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qA1.1	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qA1.2	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qA1.3	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qA2	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qA3	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qB	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qB1	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qB2	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qB3	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qC	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qC1	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qC2	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qC3	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qD	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qD1	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qD2	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qD3	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qE	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qF	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qF1	IAO:0000115		
WARN	missing_definition	CHR:10090chr12qF2	IAO:0000115		
WARN	missing_definition	CHR:10090chr13	IAO:0000115		
WARN	missing_definition	CHR:10090chr13q	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qA	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qA1	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qA2	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qA3	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qA3.1	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qA3.2	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qA3.3	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qA4	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qA5	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qB	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qB1	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qB2	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qB3	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qC	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qC1	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qC2	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qC3	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qD	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qD1	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qD2	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qD2.1	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qD2.2	IAO:0000115		
WARN	missing_definition	CHR:10090chr13qD2.3	IAO:0000115		
