?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CHR_9606chr6q23.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q23.2 (Human)"	
<http://purl.obolibrary.org/obo/SO_0000341>	<http://www.w3.org/2000/01/rdf-schema#label>	"chromosome band"	
<http://purl.obolibrary.org/obo/CHR_10090chrXqA>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXqA (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2q3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr5q1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q1 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr20q11.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr20q11.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6q22.32>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q22.32 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9823chrM>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrM (pig)"	
<http://purl.obolibrary.org/obo/SO_0000340>	<http://www.w3.org/2000/01/rdf-schema#label>	"chromosome"	
<http://purl.obolibrary.org/obo/CHR_9606chr1p21.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p21.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9q22.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q22.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2q21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q21 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3p25>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3p25 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2p22.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2p22.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr8>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr14qE4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14qE4 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5q31>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q31 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1q42.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q42.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr18q2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18q2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr10q26.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q26.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6p1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6p1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr16q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16q11 (Human)"	
